Date,item1
2023-05-13,253.0
2023-05-14,256.0
2023-05-15,250.0
2023-05-16,257.0
2023-05-17,260.0
2023-05-18,264.0
2023-05-19,271.0
2023-05-20,273.0
2023-05-21,263.0
2023-05-22,279.0
2023-05-23,276.0
2023-05-24,276.0
2023-05-25,275.0
2023-05-26,280.0
2023-05-27,280.0
2023-05-28,276.0
2023-05-29,271.0
2023-05-30,270.0
2023-05-31,278.0
2023-06-01,294.0
2023-06-02,295.0
2023-06-03,290.0
2023-06-04,284.0
2023-06-05,283.0
2023-06-06,287.0
2023-06-07,300.0
2023-06-08,300.0
2023-06-09,321.1
2023-06-10,312.1
2023-06-11,305.6
2023-06-12,299.8
2023-06-13,299.8
2023-06-14,307.2
2023-06-15,310.8
2023-06-16,317.9
2023-06-17,302.6
2023-06-18,297.0
2023-06-19,294.4
2023-06-20,300.9
2023-06-21,303.7
2023-06-22,299.7
